ActiveTime,InactiveTime,AckedTime,Alarm,Severity,Priority,Tag1Value,Tag2Value,Tag3Value,Tag4Value,Duration,Message,SuppressedTime,DisabledTime,InputValue,LimitValue,ShelvedTime,AlarmClass,EventAssociationID,ServerName,Source,EventID,SuppressedB,DisabledB,ShelvedB,ActiveHour,Machine,tStartHour,tStartHourMachine
2020-03-28 02:11:58.887,2020-03-28 02:12:58.937,NULL,CP_NoMaterial_Alarm TRIP,500,2,,,,,1,Case Packer - NO packing material - Case Packer STOPPED.,NULL,NULL,1,0,NULL,,459E71F5-7D9C-4E3B-B5D9-8F3CC3D7CE05,RSLE,[L1]Program:Packer.CP_NoMaterial_Alarm TRIP,67BA81DD-8CEB-4A9B-B831-DC50679015DB,NULL,NULL,NULL,2,Packer,2020-03-28 02:00:00.000,2020-3-28 2_Packer
2020-04-02 02:09:17.330,2020-04-02 02:10:17.380,NULL,CL_BeltStopped_Alarm TRIP,500,2,,,7,182720,1,Cooling Tunnel - Belt STOPPED alarm. Please take action.,NULL,NULL,1,0,NULL,,22C9F7CF-C509-4742-AEEA-8F3CCA988EC1,RSLE,[L1]Program:Cooling.CL_BeltStopped_Alarm TRIP,BA2CC214-C329-4078-A9F8-F720CE92DFEE,NULL,NULL,NULL,2,Cooling,2020-04-02 02:00:00.000,2020-4-2 2_Cooling
2020-03-28 02:05:01.183,2020-03-28 02:06:07.883,NULL,Depositor_DriveAlarm TRIP,500,2,,,5,178598,1,Depositor Main Drive FAULT Alarm,NULL,NULL,1,0,NULL,,28F7F8E7-BE73-45E0-806F-8F45DCCD4897,RSLE,[L1]Program:Depositor.Depositor_DriveAlarm TRIP,7F71941F-12B1-4585-9DD8-B33AA46609EC,NULL,NULL,NULL,2,Depositor,2020-03-28 02:00:00.000,2020-3-28 2_Depositor
2020-03-22 02:10:18.667,2020-03-22 02:11:18.767,NULL,TW_MetalDetect_Alarm TRIP,500,2,,,9,174591,1,Tray Wrapper - Metal Detected!,NULL,NULL,1,0,NULL,,E13E4108-E078-4DDE-9B28-8FFDCDC0620B,RSLE,[L1]Program:Wrapper.TW_MetalDetect_Alarm TRIP,C5FB75E3-ECE0-4770-B336-CF46BD48CF6B,NULL,NULL,NULL,2,Wrapper,2020-03-22 02:00:00.000,2020-3-22 2_Wrapper
2020-03-29 02:00:39.343,2020-03-29 02:01:39.393,NULL,TW_LabelMiss_Alarm TRIP,500,2,,,2,179477,1,Tray Wrapper - Label Missing Alarm.,NULL,NULL,1,0,NULL,,18757B02-F8AA-4D56-975C-90093AFCE51B,RSLE,[L1]Program:Wrapper.TW_LabelMiss_Alarm TRIP,B5B7E2AE-236B-432F-A63F-719424E168D4,NULL,NULL,NULL,2,Wrapper,2020-03-29 02:00:00.000,2020-3-29 2_Wrapper
2020-03-07 02:00:29.063,2020-03-07 02:01:29.117,NULL,CL_DriveFault_Alarm TRIP,500,2,,,14,169376,1,Cooling Tunnel - Drive FAULT alarm.,NULL,NULL,1,0,NULL,,FAFEFDB0-770A-41F8-A0FB-901D0DFED743,RSLE,[L1]Program:Cooling.CL_DriveFault_Alarm TRIP,5F61EFCE-4F46-4B5E-A8D0-28D3BEF3289C,NULL,NULL,NULL,2,Cooling,2020-03-07 02:00:00.000,2020-3-7 2_Cooling
2020-03-07 02:24:23.970,2020-03-07 02:25:24.020,NULL,CP_NoMaterial_Alarm TRIP,500,2,,,,,1,Case Packer - NO packing material - Case Packer STOPPED.,NULL,NULL,1,0,NULL,,A7116CFB-432F-4E85-A876-904A288C9C67,RSLE,[L1]Program:Packer.CP_NoMaterial_Alarm TRIP,3AB63D45-2956-4F55-BDBF-8A96E1F0A3DD,NULL,NULL,NULL,2,Packer,2020-03-07 02:00:00.000,2020-3-7 2_Packer
2020-03-20 02:16:32.903,2020-03-20 02:17:32.953,NULL,CL_BeltStopped_Alarm TRIP,500,2,,,2,173229,1,Cooling Tunnel - Belt STOPPED alarm. Please take action.,NULL,NULL,1,0,NULL,,6DA9FA6F-0227-49F5-AED8-906802A48359,RSLE,[L1]Program:Cooling.CL_BeltStopped_Alarm TRIP,616F2DF9-CC59-4B2A-988D-3B45DFCD4983,NULL,NULL,NULL,2,Cooling,2020-03-20 02:00:00.000,2020-3-20 2_Cooling
2020-03-21 14:00:50.650,2020-03-21 14:01:50.700,NULL,OV_Moisture_Alarm TRIP,500,2,,,6,174394,1,Oven - HIGH Moisture alarm.,NULL,NULL,1,0,NULL,,3F8A4BDD-F539-46CD-9DC3-90ADF5F2CFD4,RSLE,[L1]Program:Oven.OV_Moisture_Alarm TRIP,FAC8C89C-5E39-4FFC-9098-25CA4CD08113,NULL,NULL,NULL,14,Oven,2020-03-21 14:00:00.000,2020-3-21 14_Oven
2020-03-08 14:51:24.947,2020-03-08 14:51:25.197,NULL,Mixer_SpeedAlarm HI,500,2,,,13,170938,0,Mixer speed HIGH - Set limit is: 60.00,NULL,NULL,60.63999,60,NULL,,AD87DD38-DD2B-4BAF-8F1E-9128C9F3B01A,RSLE,[L1]Program:Mixer.Mixer_SpeedAlarm HI,318855B8-833A-4B71-8437-D0EA8BA22CCA,NULL,NULL,NULL,14,Mixer,2020-03-08 14:00:00.000,2020-3-8 14_Mixer
2020-03-07 02:00:17.713,2020-03-07 02:01:17.763,NULL,OV_Moisture_Alarm TRIP,500,2,,,6,169377,1,Oven - HIGH Moisture alarm.,NULL,NULL,1,0,NULL,,000AF50E-B9E0-4BEB-8882-913130E70B39,RSLE,[L1]Program:Oven.OV_Moisture_Alarm TRIP,21BCBBAF-89A1-4C36-96BF-34F51D4A9860,NULL,NULL,NULL,2,Oven,2020-03-07 02:00:00.000,2020-3-7 2_Oven
2020-03-18 11:58:09.717,NULL,NULL,OV_BeltSpeed_Alarm LO,500,2,,,2,161526,NULL,Oven - Belt Speed is LOW warning. The limit is set to: The limit is: 15.0.,NULL,NULL,0,15,NULL,,319C8D7C-A948-4F3C-8169-915104CDFD08,RSLE,[L1]Program:Oven.OV_BeltSpeed_Alarm LO,888101F9-C71A-416F-A711-207725F10A17,NULL,NULL,NULL,11,Oven,2020-03-18 11:00:00.000,2020-3-18 11_Oven
2020-02-28 04:24:43.133,NULL,NULL,OV_BeltSpeed_Alarm LO,500,2,,,2,168586,NULL,Oven - Belt Speed is LOW warning. The limit is set to: The limit is: 15.0.,NULL,NULL,0,15,NULL,,9FE5AF43-E88A-4FF8-9F3D-9199B671FB8F,RSLE,[L1]Program:Oven.OV_BeltSpeed_Alarm LO,8BC86A20-8F0B-4FCA-9826-A2C41466E5AA,NULL,NULL,NULL,4,Oven,2020-02-28 04:00:00.000,2020-2-28 4_Oven
2020-03-23 14:02:54.343,2020-03-23 14:03:04.393,NULL,Mixer_ScrapMix TRIP,500,2,,,7,175391,0,Mixer Mix has been Determined to be Scrap,NULL,NULL,1,0,NULL,,637195FD-FF84-4E7B-B7AB-9206BBFF89D1,RSLE,[L1]Program:Mixer.Mixer_ScrapMix TRIP,C2F76795-CEA5-45F7-A945-9BD4A29D9FED,NULL,NULL,NULL,14,Mixer,2020-03-23 14:00:00.000,2020-3-23 14_Mixer
2020-02-28 04:02:16.307,2020-02-28 04:02:24.523,NULL,[L1] STATUS,800,4,,,,,0,Mode of controller L1 has been changed to Program. (Server: RNA://$Global/Cookies/Data:RSLE:[L1]),NULL,NULL,0,0,NULL,,DB60B893-323D-4849-8EFD-930A98094C0B,RSLE,[L1] STATUS,33F18269-A5D0-4962-8A22-9F6197AE1EFB,NULL,NULL,NULL,4,[L1] STATUS,2020-02-28 04:00:00.000,2020-2-28 4_[L1] STATUS
2020-03-18 14:05:18.523,2020-03-18 14:06:18.573,NULL,Depositor_BearingTempAlarm TRIP,500,2,99.99997,,5,171510,1,Depositor HIGH Bearing Temperature detected,NULL,NULL,1,0,NULL,,1E0E3F8D-C286-4D4B-AD93-932CBDF8DDA6,RSLE,[L1]Program:Depositor.Depositor_BearingTempAlarm TRIP,5BE7714C-42F6-459B-96D4-A6933C289AE5,NULL,NULL,NULL,14,Depositor,2020-03-18 14:00:00.000,2020-3-18 14_Depositor
2020-03-06 06:02:53.383,2020-03-06 06:03:30.083,NULL,TW_JawTemperature_Alarm HI,500,2,,,13,168820,0,Tray Loader - Jaw temperature HIGH warning. The limit is: 180.0.,NULL,NULL,180.1185,180,NULL,,89C3200E-AFEE-4DDD-94F9-9361127DA175,RSLE,[L1]Program:Loader.TW_JawTemperature_Alarm HI,DE0C72BA-1DD6-4695-83D9-89004207C1E4,NULL,NULL,NULL,6,Loader,2020-03-06 06:00:00.000,2020-3-6 6_Loader
2020-04-02 14:07:56.750,2020-04-02 14:09:01.800,NULL,OV_BeltSpeed_Alarm LO,500,2,,,2,183324,1,Oven - Belt Speed is LOW warning. The limit is set to: The limit is: 15.0.,NULL,NULL,14.90001,15,NULL,,EF8F9EC1-5815-44C1-9B4E-93AFAE55C6D1,RSLE,[L1]Program:Oven.OV_BeltSpeed_Alarm LO,61B6E317-D735-405D-929C-3DEB90B78186,NULL,NULL,NULL,14,Oven,2020-04-02 14:00:00.000,2020-4-2 14_Oven
2020-04-02 14:07:57.600,2020-04-02 14:09:01.000,NULL,OV_BeltSpeed_Alarm LOLO,500,2,,,2,183324,1,Oven - Belt Speed is too LOW. Product will be rejected.,NULL,NULL,9.800006,10,NULL,,EF8F9EC1-5815-44C1-9B4E-93AFAE55C6D1,RSLE,[L1]Program:Oven.OV_BeltSpeed_Alarm LOLO,3B7E059B-5D28-41BD-A943-859F1AF8A4F6,NULL,NULL,NULL,14,Oven,2020-04-02 14:00:00.000,2020-4-2 14_Oven
2020-03-20 02:01:50.153,2020-03-20 02:02:50.203,NULL,TW_JawJam_Alarm TRIP,500,2,,,20,173223,1,Tray Loader and Wrapper - Jaws are jammed Alarm.,NULL,NULL,1,0,NULL,,489F846E-048C-4D26-8F82-93DC1310BAE8,RSLE,[L1]Program:Wrapper.TW_JawJam_Alarm TRIP,9C216A2E-9BCB-4E3D-A3B7-526B37EAC495,NULL,NULL,NULL,2,Wrapper,2020-03-20 02:00:00.000,2020-3-20 2_Wrapper
2020-03-07 02:10:22.767,2020-03-07 02:11:22.817,NULL,TW_JawJam_Alarm TRIP,500,2,,,16,169381,1,Tray Loader - Jaws are jammed Alarm.,NULL,NULL,1,0,NULL,,D73F454C-1935-4AB1-9F89-94053009C278,RSLE,[L1]Program:Loader.TW_JawJam_Alarm TRIP,38587061-D042-4222-BA73-99F8213F6CD5,NULL,NULL,NULL,2,Loader,2020-03-07 02:00:00.000,2020-3-7 2_Loader
2020-03-26 02:15:57.237,2020-03-26 02:16:57.287,NULL,Depositor_BearingVibAlarm TRIP,500,2,13,,20,177396,1,Depositor Bearing HIGH Vibration detected,NULL,NULL,1,0,NULL,,8D39D76C-F92F-4B7C-8302-943BCB8DF6B4,RSLE,[L1]Program:Depositor.Depositor_BearingVibAlarm TRIP,D34CB6D2-2EF6-4893-98FB-348E9B8F8205,NULL,NULL,NULL,2,Depositor,2020-03-26 02:00:00.000,2020-3-26 2_Depositor
2020-03-26 14:02:12.503,2020-03-26 14:03:12.553,NULL,TW_MetalDetect_Alarm TRIP,500,2,,,6,177987,1,Tray Wrapper - Metal Detected!,NULL,NULL,1,0,NULL,,75ED866D-23E2-4219-986D-9444AFD11795,RSLE,[L1]Program:Wrapper.TW_MetalDetect_Alarm TRIP,45814D86-C307-4866-A1F8-4B2E5CE971EA,NULL,NULL,NULL,14,Wrapper,2020-03-26 14:00:00.000,2020-3-26 14_Wrapper
2020-03-06 08:42:37.600,2020-03-06 08:43:37.650,NULL,OV_BeltStopped_Alarm TRIP,500,2,,,2,168927,1,Oven - Belt STOPPED alarm.,NULL,NULL,1,0,NULL,,7C431462-AE75-480D-8C5C-944E1A1DA8E6,RSLE,[L1]Program:Oven.OV_BeltStopped_Alarm TRIP,1C9F0572-826C-4AF9-ABB7-1134EF65020B,NULL,NULL,NULL,8,Oven,2020-03-06 08:00:00.000,2020-3-6 8_Oven
2020-03-31 21:30:27.383,2020-03-31 21:31:27.433,NULL,OV_DriveFault_Alarm TRIP,500,2,,,9,181291,1,Oven - Drive FAULT alarm.,NULL,NULL,1,0,NULL,,5CFE627F-3DB4-4C97-8D8C-945EC107CCE8,RSLE,[L1]Program:Oven.OV_DriveFault_Alarm TRIP,294F311E-ABED-40C0-8554-8B1BFF216B34,NULL,NULL,NULL,21,Oven,2020-03-31 21:00:00.000,2020-3-31 21_Oven
2020-03-26 02:12:03.537,2020-03-26 02:13:05.887,2020-03-26 02:12:03.537,CL_TunnelTemp_Alarm LO,500,2,,,13,177392,1,Cooling Tunnel - Low Temperature warning. Limit is set to: The limit is: 14.0.,NULL,NULL,13.99294,14,NULL,,A84EB556-D1C1-4DEA-AB99-94BF039F6087,RSLE,[L1]Program:Cooling.CL_TunnelTemp_Alarm LO,745DC9F5-E9A9-437B-8DAC-50E3356EE32B,NULL,NULL,NULL,2,Cooling,2020-03-26 02:00:00.000,2020-3-26 2_Cooling
2020-02-28 04:32:53.633,2020-02-28 04:33:53.683,NULL,Depositor_BearingTempAlarm TRIP,500,2,99.99997,,5,168525,1,Depositor HIGH Bearing Temperature detected,NULL,NULL,1,0,NULL,,1A9875C0-EE96-44CE-AC2E-951292B12103,RSLE,[L1]Program:Depositor.Depositor_BearingTempAlarm TRIP,19DB3840-E96A-4F8B-AC90-011D809CD975,NULL,NULL,NULL,4,Depositor,2020-02-28 04:00:00.000,2020-2-28 4_Depositor
2020-03-18 12:06:09.717,2020-03-18 12:07:10.167,NULL,Depositor_PressureAlarm LO,500,2,,,13,171469,1,Depositor Pressure alarm LOW : 45.0,NULL,NULL,42.14082,45,NULL,,84BC9A1F-37E1-4C10-BDC3-952B5011AE21,RSLE,[L1]Program:Depositor.Depositor_PressureAlarm LO,F653B021-10D0-47EE-B9EE-1BFEF32C2A03,NULL,NULL,NULL,12,Depositor,2020-03-18 12:00:00.000,2020-3-18 12_Depositor
2020-03-06 09:02:18.557,2020-03-06 09:03:20.857,NULL,TW_JawTemperature_Alarm HI,500,2,,,3,168936,1,Tray Wrapper - Jaw temperature HIGH warning. The limit is: 180.0.,NULL,NULL,180.0717,180,NULL,,F4121F07-4092-4379-8581-952C96B6A46B,RSLE,[L1]Program:Wrapper.TW_JawTemperature_Alarm HI,31F4E363-22E5-461F-A288-60960A3305E6,NULL,NULL,NULL,9,Wrapper,2020-03-06 09:00:00.000,2020-3-6 9_Wrapper
2020-04-05 02:00:40.773,2020-04-05 02:01:40.823,NULL,OV_BeltStopped_Alarm TRIP,500,2,,,3,185420,1,Oven - Belt STOPPED alarm.,NULL,NULL,1,0,NULL,,BE6B503A-9C72-439D-A6F4-9543969A5055,RSLE,[L1]Program:Oven.OV_BeltStopped_Alarm TRIP,2F127BB3-ABE3-4D67-A92F-B4EF5069E53A,NULL,NULL,NULL,2,Oven,2020-04-05 02:00:00.000,2020-4-5 2_Oven
2020-02-21 07:36:57.060,2020-02-21 07:37:17.063,NULL,[L1] STATUS,800,4,,,,,0,Unable to get list of alarms from controller L1. Either no program exists or a program download is in progress. (Server: RNA://$Global/Cookies/Data:RSLE:[L1]),NULL,NULL,0,0,NULL,,93798D18-AA51-40F2-9B22-95B506B4670C,RSLE,[L1] STATUS,3EFB0014-E069-45DB-B4FA-AB2E94AD8CB5,NULL,NULL,NULL,7,[L1] STATUS,2020-02-21 07:00:00.000,2020-2-21 7_[L1] STATUS
