RowN,Line,WorkcellId,Workcell,tShift,tStartHour,SH,OEE,Availability,Performance,Quality,dGoodParts,sScrapParts,dTotalParts,dScrapPcnt,MaxParts,DownTime,TotalTime,IdealAvailTime,lFaultCount,FaultTime,RunTime,AvailableTime,MTBF,MTTR,PlannedDownTime,SpeedLoss,ActualCylceTime,IdealCylceTime,CycleTimeDiff,IdealLostParts,IdealLostPartsMinutes,IdealScrapPartsMinutes,ActualScrapPartsMinutes,tStartHourMachine
327,Line1,1000036,ShrinkWrapper,2019-04-08 06:59:57.000,2019-04-08 13:00:00.000,13,1.60138888926174,1.63974999932111,97.6605512989631,100,1,0,1,0,62.4457935674208,59.0161499866665,60,59.9999999860301,0,0,0.983849999363596,59.9999999860301,0,0,1.39698537774772E-08,2.33944870103687,59.0309999618158,57.65,-1.38099996181577,61.4457935674208,59.0391666526968,0,0,2019-4-8 13_ShrinkWrapper
328,Line1,1000036,ShrinkWrapper,2019-04-08 06:59:57.000,2019-04-08 14:00:00.000,14,0,0,0,0,0,0,0,0,15.6114483918552,14.9999999965075,15,14.9999999965075,0,0,0,14.9999999965075,0,0,3.49245965480804E-09,0,0,57.65,0,15.6114483918552,0,0,0,2019-4-8 14_ShrinkWrapper
329,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 00:00:00.000,0,78.4000000182539,91.3386945249534,85.8343776709391,100,294,0,294,0,374.999999912689,5.19678328381802,60,59.9999999860302,0,0,54.8032167022121,59.9999999860302,0,0,1.39698461983547E-08,14.1656223290609,11.184329939227,9.6,-1.58432993922697,80.9999999126886,12.9599999860302,0,0,2019-4-7 0_TrayLoader
330,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 01:00:00.000,1,78.4000000182538,89.6797500028229,87.4221884157639,100,294,0,294,0,374.999999912689,6.19214999686454,60,59.9999999860302,0,0,53.8078499891656,59.9999999860302,0,0,1.39698386192322E-08,12.5778115842361,10.9811938753399,9.6,-1.38119387533992,80.9999999126886,12.9599999860302,0,0,2019-4-7 1_TrayLoader
331,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 02:00:00.000,2,73.6000000171363,84.5511944586461,87.0478536564424,100,276,0,276,0,374.999999912689,9.26928332265417,60,59.9999999860302,0,0,50.730716663376,59.9999999860302,0,0,1.39698386192322E-08,12.9521463435576,11.0284166659513,9.6,-1.42841666595131,98.9999999126886,15.8399999860302,0,0,2019-4-7 2_TrayLoader
332,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 03:00:00.000,3,78.4000000182538,91.4781666509455,85.7035103440647,100,294,0,294,0,374.999999912688,5.1131000082422,60,59.9999999860302,0,0,54.886899977788,59.9999999860302,0,0,1.39698234609871E-08,14.2964896559353,11.2014081587322,9.6,-1.60140815873223,80.9999999126885,12.9599999860302,0,0,2019-4-7 3_TrayLoader
333,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 04:00:00.000,4,78.4000000182539,89.7100833840747,87.3926286330612,100,294,0,294,0,374.999999912689,6.17394996811772,60,59.9999999860301,0,0,53.8260500179124,59.9999999860301,0,0,1.39698613565997E-08,12.6073713669388,10.9849081669209,9.59999999999999,-1.38490816692091,80.9999999126886,12.9599999860302,0,0,2019-4-7 4_TrayLoader
334,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 05:00:00.000,5,78.4000000182538,91.4660277141424,85.7148845069301,100,294,0,294,0,374.999999912689,5.12038337032236,60,59.9999999860302,0,0,54.8796166157078,59.9999999860302,0,0,1.39698386192322E-08,14.2851154930699,11.1999217583077,9.6,-1.59992175830771,80.9999999126885,12.9599999860302,0,0,2019-4-7 5_TrayLoader
335,Line1,1000030,TrayLoader,2019-04-06 18:59:58.000,2019-04-07 06:00:00.000,6,78.4511862680312,89.4974530266227,87.6574512625454,100,294,0,294,0,374.755327466354,6.29741668838201,59,59.9608523946166,0,0,53.6634357062346,59.9608523946166,0,0,-0.0108523946166239,12.3425487374546,10.9517215727009,9.60000000000001,-1.35172157270093,80.7553274663537,12.9208523946166,0,0,2019-4-7 6_TrayLoader
336,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 06:00:00.000,6,0,100,0,0,0,0,0,0,0.244672446334735,0,0,0.0391475914135575,0,0,0.0391475914135575,0.0391475914135575,0,0,0.0108524085864425,0,0,9.6,0,0.244672446334735,0,0,0,2019-4-7 6_TrayLoader
337,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 07:00:00.000,7,56.0000000130385,64.73849998941,88.9733312060571,97.2222222222222,210,6,216,0.0277777777777778,374.999999912688,21.156900001428,60,59.9999999860302,1,2.00023333985259,38.8430999846021,59.9999999860302,2330.58599907613,1,1.39698386192322E-08,11.0266687939429,10.7897499957228,9.6,-1.18974999572282,158.999999912688,25.4399999860302,0.96,1.07897499957228,2019-4-7 7_TrayLoader
338,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 08:00:00.000,8,80.130864146362,91.5339680109837,87.5422161713197,100,306,0,306,0,381.875327640395,5.17274998339141,61,61.1000524224632,0,0,55.9273024390718,61.1000524224632,0,0,-5.24224631969143E-05,12.4577838286803,10.9661377331513,9.6,-1.36613773315132,75.8753276403949,12.1400524224632,0,0,2019-4-7 8_TrayLoader
339,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 09:00:00.000,9,76.6044824776903,89.2607430971224,85.8210225679377,100,282,0,282,0,368.124672184982,6.32541668301138,58,58.8999475495972,0,0,52.5745308665858,58.8999475495972,0,0,5.24504028210989E-05,14.1789774320623,11.1860703971459,9.6,-1.58607039714591,86.1246721849823,13.7799475495972,0,0,2019-4-7 9_TrayLoader
340,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 10:00:00.000,10,80.0000000186264,91.2095319403987,87.7101310758866,100,300,0,300,0,374.999999912688,5.27428083453278,60,59.9999999860302,0,0,54.7257191514974,59.9999999860302,0,0,1.39698310401097E-08,12.2898689241134,10.9451438302995,9.6,-1.34514383029948,74.9999999126885,11.9999999860302,0,0,2019-4-7 10_TrayLoader
341,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 11:00:00.000,11,78.4000000182538,90.3120236583261,86.8101464704871,100,294,0,294,0,374.999999912688,5.81278580365094,60,59.9999999860302,0,0,54.1872141823792,59.9999999860302,0,0,1.39698386192322E-08,13.1898535295129,11.0586151392611,9.6,-1.45861513926106,80.9999999126884,12.9599999860301,0,0,2019-4-7 11_TrayLoader
342,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 12:00:00.000,12,76.8000000178813,89.6798888393249,85.6379295423527,100,288,0,288,0,374.999999912689,6.19206669496335,60,59.9999999860302,0,0,53.8079332910668,59.9999999860302,0,0,1.39698386192322E-08,14.3620704576473,11.2099861023056,9.6,-1.60998610230559,86.9999999126885,13.9199999860302,0,0,2019-4-7 12_TrayLoader
